LN_EXPORT,EXPORT,PARTNER,YEAR,LN_GDP_NIGERIA,LN_GDP_PARTNER,LOG_DISTANCE,COCOA_PRICE,COCOA_PRICE_SQ,ELECTION_YEARS,PARTNER_GOV_MEAN,NIGERIA_GOV_MEAN,GDP_INTERACTION,NDVI,TEMP_C,SPEI
18.337432267455146,92012249.0,Germany,2013,26.836461416210433,28.823849417622853,8.448700194970938,2.43884667208333,5.947973089931935,0,1.48454,-1.2232208966,773.5301227626952,0.507302411980817,26.1958487294239,-0.4004126
18.124205349987225,74343392.0,Germany,2012,26.77187912672076,28.81999461102532,8.448700194970938,2.391869053,5.721037566699118,0,1.4645,-1.2161760568,771.5654121591135,0.468022026993959,29.5116279546889,-0.038858492
17.581782881259482,43218659.0,Germany,2011,26.730448730035295,28.815262909989528,8.448700194970938,2.98007671316666,8.880857216358203,1,1.4502599999999999,-1.2252851128,770.2449078579627,0.45442134632939,30.8158822479176,-0.39697862
17.669030657893195,47158775.0,Germany,2010,26.67873024612612,28.778372131673045,8.448700194970938,3.13300385383333,9.815713148134497,0,1.45742,-1.2660335304,767.7704270235387,0.410811777252926,26.1877344021035,-0.24233592
17.12467108331522,27362146.0,Germany,2009,26.601716836765984,28.737741186917745,8.448700194970938,2.88875032966666,8.344878467149238,0,1.46928,-1.2306422592,764.473253582653,0.369743752902434,27.1019359539629,-0.29673287
18.839183241424383,151968412.0,Germany,2008,26.524413954980783,28.794789584342826,8.448700194970938,2.5771163235,6.641528544850156,0,1.48534,-1.1206364990000002,763.7649186816782,0.362161878138446,25.8030446151818,-0.06749237
17.86802925389987,57542206.0,Germany,2007,26.45895892167694,28.78572674408253,8.448700194970938,1.95226915516666,3.8113548542151445,1,1.54508,-1.2138171078,761.6403614522969,0.469697606676352,26.8089552767383,-0.1192396
13.364236038824808,636816.0,Germany,2006,26.395128804266605,28.75723543199931,8.448700194970938,1.59190223741666,2.534152733492168,0,1.5607399999999998,-1.2301845074000002,759.0509332822412,0.571827840014689,30.0789072309954,-0.121865965
13.466265089852417,705220.0,Germany,1998,25.859651811251265,28.64095058891767,8.448700194970938,1.67638333333333,2.8102610802777668,0,1.58116,-0.9959619995999999,740.6450097726628,0.0,27.7963848607815,-0.1563065
15.773248905823474,7083289.0,Germany,1996,25.805218859306773,28.601827393713453,8.448700194970938,1.45556666666666,2.118674321111092,0,1.6018800000000002,-1.0855012774000001,738.0764156708915,0.0,29.1998368435865,-0.049461573
12.405873872204774,244232.0,Ghana,2023,27.034361030801403,24.981400325995025,6.980075940561763,3.28066666666666,10.762773777777735,1,-0.09872,-1.096374774,675.3561954679294,0.465897066568152,30.2023182049063,-0.038629677
10.66693008931473,42913.0,Ghana,2022,27.006160286311875,24.95048234108769,6.980075940561763,2.39297916666666,5.726349292100663,0,-0.12482,-1.2040060877999998,673.816725324208,0.518759891258585,28.5326593933733,0.056405585
8.07961802938984,3228.0,Ghana,2021,26.974160955765555,24.913139834800376,6.980075940561763,2.42653166666666,5.888055929336078,0,-0.1123,-1.1461521864,672.0110438173998,0.525727734764067,31.246494201577,-0.43129632
16.290419143259875,11880621.0,Ghana,2020,26.938338447082764,24.86362168391249,6.980075940561763,2.36986416666666,5.616256168450664,0,-0.07339999999999999,-1.204169035,669.7846559414605,0.369476022320351,25.0687606808117,-0.039621525
13.387485374291431,651795.0,Ghana,2019,26.956443896843833,24.858495428931782,6.980075940561763,2.34082166666666,5.479446075136081,1,-0.0906,-1.2276788116,670.0966373899485,0.581521735116624,28.699880444532,0.11692938
12.49100343667615,265934.0,Ghana,2018,26.93459993021348,24.7954476296752,6.980075940561763,2.29376833333333,5.261373167002762,0,-0.11714,-1.2190794946,667.8554619958616,0.414299783904049,29.5976912079003,-0.044339597
14.17157391492181,1427698.0,Ghana,2016,26.90752830381704,24.657139174757567,6.980075940561763,2.89076166666666,8.356503013469405,0,-0.16698,-1.2041118978,663.4626702359451,0.333887066699011,30.6095941578635,-0.16095097
8.373553741214627,4331.0,Ghana,2015,26.923829132852337,24.62396104911127,6.980075940561763,3.135045,9.828507152024999,1,-0.11065999999999998,-1.1771220682,662.9713198602832,0.53919834956766,28.5148864964499,-0.22214203
11.949559728490422,154749.0,Ghana,2014,26.89764793806328,24.60297520700976,6.980075940561763,3.06223999999999,9.377313817599937,0,-0.11888000000000001,-1.2995489597999998,661.762165347048,0.527583092626932,30.8980003998019,-0.3127437
13.462326656098009,702448.0,Ghana,2013,26.836461416210433,24.574813106271627,6.980075940561763,2.43884667208333,5.947973089931935,0,0.009079999999999996,-1.2232208966,659.501023737041,0.507302411980817,26.1958487294239,-0.4004126
12.374291052107436,236639.0,Ghana,2012,26.77187912672076,24.5042379204812,6.980075940561763,2.391869053,5.721037566699118,0,0.005860000000000004,-1.2161760568,656.0244956995299,0.468022026993959,29.5116279546889,-0.038858492
15.524821316301878,5525152.0,Ghana,2011,26.730448730035295,24.415377684128096,6.980075940561763,2.98007671316666,8.880857216358203,1,0.02527999999999999,-1.2252851128,652.634001410034,0.45442134632939,30.8158822479176,-0.39697862
10.229476459142496,27708.0,Ghana,2010,26.67873024612612,24.283936142393756,6.980075940561763,3.13300385383333,9.815713148134497,0,-0.008440000000000001,-1.2660335304,647.8645816570755,0.410811777252926,26.1877344021035,-0.24233592
16.202812280360856,10884086.0,Ghana,2008,26.524413954980783,24.16059613521565,6.980075940561763,2.5771163235,6.641528544850156,0,-0.06224,-1.1206364990000002,640.8456532895688,0.362161878138446,25.8030446151818,-0.06749237
14.743197703322801,2528654.0,Ghana,2007,26.45895892167694,24.073045080277115,6.980075940561763,1.95226915516666,3.8113548542151445,1,-0.0043,-1.2138171078,636.9477108987293,0.469697606676352,26.8089552767383,-0.1192396
13.52641682291888,748942.0,Ghana,2006,26.395128804266605,24.030495116154373,6.980075940561763,1.59190223741666,2.534152733492168,0,-0.006279999999999999,-1.2301845074000002,634.2880138211942,0.571827840014689,30.0789072309954,-0.121865965
